Family,Species,Alpine,Montane,Foothills,Plains
Fritillaries,Variegated Fritillary,Jul,Jun-Jul,Apr-Sep,Jun-Sep
Fritillaries,Aphrodite Fritillary,,Aug-Sep,Jun-Sep,Jun
Fritillaries,Edwards' Fritillary,Aug,Jul-Aug,Jun-Aug,Jun
Fritillaries,Coronis Fritillary,,Jul-Aug,Jun-Aug,
Fritillaries,Callippe Fritillary,,,Jun-Aug,
Fritillaries,Northwestern Fritillary,,Jul-Aug,Jun-Aug,
Fritillaries,Mormon Fritillary,Jun-Jul,Jun-Jul,Jun-Aug,
Checkerspots and Crescents,Arachne Checkerspot,,Jul,Jun,
Checkerspots and Crescents,Gorgone Checkerspot,,Jul,May-Jul,Jun
Checkerspots and Crescents,Silvery Checkerspot,,Jul-Sep,Jul-Aug,
Checkerspots and Crescents,Northern Checkerspot,,Jun-Aug,May-Jul,
Checkerspots and Crescents,Rockslide Checkerspot,Aug-Sep,,,
Checkerspots and Crescents,Variable Checkerspot,Jul,Jun-Jul,Jun,
Checkerspots and Crescents,Pallid Crescent,,Jun-Jul,"Mar, May-Jul",
Checkerspots and Crescents,Pearl Crescent,,Jun,Apr-Jul,"May, Jul"
Checkerspots and Crescents,Northern Crescent,,Jun-Jul,May-Aug,"May, Jul"
Checkerspots and Crescents,Field Crescent,,Jun-Aug,Apr-Aug,May-Aug
